x0,y0,vx0,x4,y4,vx4,x48,y48,vx48,x6,y6,vx6,x8,y8,vx8,x1444,y1444,vx1444
-0.0167,0.988,-0.0167,3.97,0.989,-0.0282,4.78,-0.00849,-0.0198,6.15,-0.00746,0.146,8.2,0.00613,0.195,14.3,0.0107,-0.147
0.13,1.01,0.13,4.21,1.05,0.214,4.83,0.0518,0.031,6,0.0527,0.00171,8.05,0.0783,0.0513,14.4,0.192,-0.0435
0.327,1.06,0.327,4.55,1.15,0.553,4.83,0.136,0.0337,6,0.137,0.00446,8.05,0.127,0.0529,14.4,0.264,-0.0412
0.573,1.11,0.573,4.84,1.22,0.843,4.84,0.22,0.0364,6.01,0.318,0.0103,8.06,0.211,0.0556,14.7,0.529,0.211
0.771,1.19,0.771,5.13,1.35,1.13,4.79,0.437,-0.00529,6.11,0.499,0.114,8.01,0.283,0.00921,15,0.758,0.609
1.22,1.46,1.12,5.28,1.48,1.28,4.85,0.69,0.0517,6.07,0.631,0.0693,8.01,0.343,0.0112,15.3,0.927,0.907
1.42,1.59,1.28,5.37,1.63,1.37,4.9,0.811,0.104,6.17,0.74,0.17,8.06,0.404,0.0619,15.5,1.12,1.11
1.37,1.75,1.37,5.37,1.74,1.418,5.06,0.956,0.255,6.47,0.933,0.469,8.26,0.609,0.264,15.6,1.53,1.12
1.43,1.86,1.43,5.37,1.88,1.39,5.3,1.08,0.503,6.72,1.08,0.718,8.36,0.693,0.364,15.5,1.93,1.04
1.43,1.99,1.47,5.37,2.02,1.37,5.8,1.22,0.996,7.01,1.21,1.01,8.51,0.814,0.514,15.2,2.13,0.8
1.43,2.12,1.43,5.31,2.16,1.31,5.95,1.34,1.15,7.31,1.35,1.31,8.76,0.958,0.763,14.7,2.54,0.277
1.39,2.28,1.39,5.22,2.28,1.22,6.29,1.56,1.3,7.51,1.54,1.51,8.96,1.1,0.963,14.6,2.67,0.184
1.25,2.41,1.25,5.16,2.42,1.16,6.25,1.72,1.45,7.52,1.78,1.52,9.16,1.25,1.16,14.5,2.77,0.0403
1.16,2.52,1.16,5.02,2.55,1.02,6.26,1.96,1.46,7.44,2.15,1.44,9.31,1.34,1.31,14.5,2.84,0.0427
0.964,2.65,0.964,4.82,2.69,0.82,6.27,2.16,1.47,7.3,2.33,1.3,9.52,1.73,1.52,14.4,2.94,-0.00297
0.676,2.78,0.676,4.48,2.8,0.477,6.17,2.35,1.37,7.11,2.54,1.11,9.53,1.95,1.53,14.3,3.01,-0.0982
0.386,2.86,0.386,4.33,2.89,0.33,5.98,2.53,1.18,6.92,2.66,0.916,9.48,2.14,1.48,,,
0.289,2.89,0.289,4.13,2.94,0.135,5.46,2.79,0.656,6.63,2.81,0.628,9.25,2.33,1.25,,,
0.144,2.93,0.144,3.99,3.01,-0.0123,5.31,2.86,0.513,6.43,2.86,0.434,9.01,2.55,1.01,,,
,,,,,,5.12,2.91,0.319,6.34,2.91,0.338,8.82,2.67,0.819,,,
,,,,,,4.97,2.94,0.174,6.24,2.99,0.244,8.53,2.81,0.531,,,
,,,,,,4.93,2.98,0.126,,,,8.39,2.9,0.387,,,
,,,,,,,,,,,,8.29,2.95,0.291,,,
,,,,,,,,,,,,8.19,2.98,0.195,,,
